chembl_id,canonical_smiles,MW,LogP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,AromaticRings,AliphaticRings,HeteroAtoms,BalabanJ,BertzCT,HallKierAlpha,lipinski_pass,lipinski_violations,veber_pass
CHEMBL1085658,O=S(=O)(c1cccc(F)c1)c1ccc2c(c1)CCC[C@H]2CN1CC(O)C1,375.4650000000002,2.754900000000001,57.61,1,4,4,26,2,2,6,1.622111170877177,891.385596128971,-1.7599999999999998,True,0,True
CHEMBL1076294,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3C4CCC(CC4)[C@@H]3N(Cc3ccccc3F)C1=O)N2,574.6560000000004,3.369200000000002,145.24,3,7,5,39,2,5,13,1.4331367929013323,1604.2519623984103,-3.4499999999999993,True,1,False
CHEMBL1076605,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(C(=O)c2ccccc2)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1090.2969999999996,0.8377699999999959,351.89,12,12,30,79,4,1,23,1.4100957997697154,2617.033236527433,-8.469999999999999,False,3,False
CHEMBL1090966,CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,1113.3739999999996,-6.713599999999998,490.6599999999998,18,18,27,78,0,1,29,3.705657237455935,1860.7402112037262,-6.110000000000001,False,3,False
CHEMBL1091402,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OC/C=C/c2ccc(OC)cc2)[C@H](C)[C@@H](O)[C@]1(C)O,748.9550000000003,4.248200000000006,165.81,3,13,10,53,1,2,13,2.0852907708948547,1348.544019709594,-2.9099999999999997,False,2,False
CHEMBL1077836,CCNN(CC(=O)N1CSC[C@H]1C#N)C1CCN(S(C)(=O)=O)CC1.Cl,411.98100000000017,0.08378000000000158,96.75,1,7,6,25,0,2,11,3.1249965512539265e-06,545.3359556823468,-0.5700000000000001,True,0,True
CHEMBL1088641,CC#CCOC(=O)NCc1cc(-c2sc(-c3cccnc3)nc2COC)n[nH]1,397.4600000000001,2.9911000000000003,102.02000000000001,2,7,7,28,3,0,9,1.7343316785979994,950.384637891588,-3.2199999999999998,True,0,True
CHEMBL1171136,COc1ccc(-c2nc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)c3ccc(OC)c(C)c3n2)cc1,731.8720000000001,4.0778200000000036,166.12,2,10,8,52,3,4,14,1.2094542332789935,1971.2369011433552,-4.72,True,1,False
CHEMBL1161611,CC(Oc1cccc2ccccc12)C(=O)OC1CC2CCC(C1)N2C.O=C(O)/C=C\C(=O)O,455.50700000000023,3.487300000000001,113.37000000000002,2,6,6,33,2,2,8,3.3074995604838625e-07,968.375197401075,-3.39,True,0,True
CHEMBL1207005,O=C(O)/C=N/OC1CCC(c2ccc(OCc3ccc4ccccc4n3)cc2)(c2ccc(OCc3ccc4ccccc4n3)cc2)CC1,637.7360000000001,8.256700000000006,103.13000000000001,1,7,11,48,6,1,8,1.0709536285167582,1885.2796047132574,-5.759999999999997,False,2,False
